Number of Spheres: 1964
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -3.06869, variance 0
Mean coordination No. 12.8267
0.52896 0.617286 0.662614 0.0464818
0.384551 0.710638 0.825858 0.0464818
0.725358 0.397635 0.440577 0.0464818
0.604299 0.0114881 0.621278 0.0464818
0.703654 0.418268 0.0845771 0.0464818
0.0751544 0.471155 0.641072 0.0464818
0.03664 0.548446 0.496283 0.0464818
0.579481 0.273265 0.827966 0.0464818
0.183234 0.030385 0.530515 0.0464818
0.271023 0.0773653 0.627724 0.0464818
0.911096 0.0860576 0.703194 0.0464818
0.673956 0.457932 0.391953 0.0464818
0.811393 0.494324 0.181561 0.0464818
0.103415 0.541699 0.316162 0.0464818
0.323268 0.867125 0.776188 0.0464818
0.568216 0.862875 0.861512 0.0464818
0.426669 0.681672 0.748209 0.0464818
0.712451 0.910604 0.909166 0.0464818
0.0503973 0.729482 0.0231326 0.0464818
0.4165 0.11879 0.697375 0.0464818
0.424441 0.555877 0.618073 0.0464818
0.82557 0.064789 0.588434 0.0464818
0.339563 0.982079 0.709856 0.0464818
0.365452 0.743448 0.258833 0.0464818
0.542131 0.416966 0.817681 0.0464818
0.36857 0.946961 0.790896 0.0464818
0.90318 0.0221416 0.346206 0.0464818
0.995239 0.643128 0.336949 0.0464818
0.912045 0.821202 0.783609 0.0464818
0.917599 0.968474 0.674145 0.0464818
0.0813733 0.504086 0.427921 0.0464818
0.727622 0.915342 0.371964 0.0464818
0.7839 0.87617 0.965861 0.0464818
0.519445 0.662959 0.0105033 0.0464818
0.390378 0.26146 0.698114 0.0464818
0.512488 0.851723 0.175228 0.0464818
0.630346 0.5396 0.38347 0.0464818
0.484851 0.399323 0.561356 0.0464818
0.363085 0.625908 0.790665 0.0464818
0.615766 0.203642 0.877748 0.0464818
0.0514419 0.0419725 0.233558 0.0464818
0.962326 0.421339 0.757701 0.0464818
0.711554 0.119461 0.118957 0.0464818
0.880902 0.71248 0.395491 0.0464818
0.224784 0.11344 0.124367 0.0464818
0.159034 0.452957 0.163721 0.0464818
0.509307 0.239955 0.776896 0.0464818
0.348656 0.656813 0.704184 0.0464818
0.730743 0.701098 0.477006 0.0464818
0.645751 0.911642 0.973914 0.0464818
0.258367 0.806128 0.377696 0.0464818
0.557157 0.376626 0.507514 0.0464818
